Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,1081.199951,1084.599976,1050.000000,1051.949951,1051.949951,2012004
2022-06-14,1034.000000,1056.550049,1020.400024,1030.150024,1030.150024,5775453
2022-06-15,1037.000000,1037.000000,1017.799988,1020.049988,1020.049988,3238141
2022-06-16,1024.050049,1033.599976,971.000000,975.299988,975.299988,5600443
2022-06-17,971.099976,974.349976,943.700012,965.049988,965.049988,7043370
2022-06-20,965.000000,988.150024,948.049988,979.349976,979.349976,2985094
2022-06-21,991.400024,1004.650024,980.000000,1000.099976,1000.099976,3433536
2022-06-22,996.950012,996.950012,968.000000,980.000000,980.000000,2719988
2022-06-23,981.099976,998.549988,971.250000,991.099976,991.099976,2915172
2022-06-24,1001.000000,1001.000000,974.000000,981.200012,981.200012,4056588
