Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,3290.000000,3293.000000,3192.449951,3219.600098,3219.600098,3030921
2022-06-14,3190.000000,3238.899902,3174.699951,3210.550049,3210.550049,2611493
2022-06-15,3218.500000,3234.000000,3201.000000,3206.300049,3206.300049,1404536
2022-06-16,3240.000000,3244.850098,3133.050049,3142.000000,3142.000000,2032028
2022-06-17,3092.000000,3118.750000,3023.850098,3088.899902,3088.899902,5240434
2022-06-20,3094.000000,3138.750000,3069.000000,3112.399902,3112.399902,1502769
2022-06-21,3130.000000,3237.750000,3125.399902,3211.949951,3211.949951,2964461
2022-06-22,3199.899902,3250.550049,3183.000000,3222.949951,3222.949951,3336315
2022-06-23,3222.949951,3318.000000,3222.949951,3308.800049,3308.800049,3692578
2022-06-24,3339.000000,3345.000000,3277.500000,3293.100098,3293.100098,2132118
